substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger
PERRYVILLE,Central,Sullivan,0,1,1,1,34.5/4.16,3,2,230,1994-01-01,34.5,4.16,0.0,3,0,0,0,0,True
PETERBORO,Central,Lennox,1,0,8,2,115/13.8,15/20/25,9,8034,1991-09-05,115.0,13.8,0.0,15,20,25,0,0,True
PETROLIA,West,Scio,0,1,1,3,34.5/4.8,1,2,738,1971-01-01,34.5,4.8,0.0,1,0,0,0,0,True
PHOENIX,Central,Schroeppel,0,1,3,1,34.5/4.8,5/6.25/7,4,2231,1969-01-01,34.5,4.8,0.0,5,6.25,7,0,0,True
PIERCEFIELD,Central,Piercefield,0,1,1,3,46/4.8,0.33,2,412,1973-01-01,46.0,4.8,0.0,0.33,0,0,0,0,True
PINE GROVE,Central,Cicero,2,0,7,1,115/13.8,18/24/30,9,12143,1991-01-01,115.0,13.8,0.0,18,24,30,0,0,True
PINE GROVE,Central,Cicero,2,0,7,1,115/13.8,20/26.7/33.3,0,12143,1991-01-01,115.0,13.8,0.0,20,26.7,33.3,0,0,True
PINEBUSH,East,Guilderland,2,0,6,1,115/13.8,12,8,6760,1989-01-01,115.0,13.8,0.0,12,0,0,0,0,True
PINEBUSH,East,Guilderland,2,0,6,1,115/13.8,15,0,6760,1989-01-01,115.0,13.8,0.0,15,0,0,0,0,True
Pleasant,Central,Utica,0,2,6,2,43.8/4.36,5/6.25,8,5237,1961-01-01,43.8,4.36,0.0,5,6.25,0,0,0,True
POLAND SUBSTATION,Central,Russia,0,1,2,1,46/13.8,10,3,1722,1996-01-01,46.0,13.8,0.0,10,0,0,0,0,True
POLAND,West,Poland,0,1,2,1,34.5/4.8,2.5,3,2557,1972-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
POMPEY,Central,Pompey,0,1,2,3,34.5/4.16,0.83,3,776,1966-01-01,34.5,4.16,0.0,0.83,0,0,0,0,True
PORT HENRY,East,Moriah,1,0,2,1,113/13.8,7.5/8.4,3,3858,1966-11-06,113.0,13.8,0.0,7.5,8.4,0,0,0,True
PORT LEYDEN,Central,Leyden,0,1,1,3,23/4.8,0.83,2,960,1959-01-01,23.0,4.8,0.0,0.83,0,0,0,0,True
PORTAGE ST.,Central,Watertown,0,1,3,1,23/4.8,0.5,4,2001,2001-04-26,23.0,4.8,0.0,0.5,0,0,0,0,True
POTTERSVILLE,East,Chester,0,1,1,1,34.4/7.5/8.4,7.5,2,1221,2012-06-01,34.4,7.5,8.4,7.5,0,0,0,0,True
PRICE CORNERS (DIST.) SUB,West,Randolph,0,3,1,3,34.5/13.8,0.5,4,63,2005-06-11,34.5,13.8,0.0,0.5,0,0,0,0,True
PROSPECT HILL,East,Waterford,1,0,2,1,115/13.8,12//16/20/24,3,4405,1974-01-01,115.0,13.8,0.0,12,,16,20,24,True
QUAIL HOLLOW,East,Bethlehem,0,1,1,1,34.5/4.8,2.5,2,216,1991-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
QUEENSBURY,East,Queensbury,3,4,8,1,115/13.8,12/16/20,15,7468,1969-05-01,115.0,13.8,0.0,12,16,20,0,0,True
QUEENSBURY,East,Queensbury,3,4,8,1,115/13.8,12/16/20,0,7468,1969-05-01,115.0,13.8,0.0,12,16,20,0,0,True
QUEENSBURY,East,Queensbury,3,4,8,1,115/34.5/4.8,30,0,7468,1969-05-01,115.0,34.5,4.8,30,0,0,0,0,True
RANDALL RD,East,Ballston,0,1,2,1,34.5/13.2,5,3,1016,2009-10-01,34.5,13.2,0.0,5,0,0,0,0,True
RANDALL RD,East,Ballston,0,1,2,2,13.2/4.8,2.5,0,1016,2009-10-01,13.2,4.8,0.0,2.5,0,0,0,0,True
RAQUETTE LAKE,Central,Long Lake,0,1,1,3,46/4.8,0.33,2,540,1959-01-01,46.0,4.8,0.0,0.33,0,0,0,0,True
RAYBROOK ES,Central,North Elba,1,0,2,1,115/13.8,15/20/25,3,1817,1992-01-01,115.0,13.8,0.0,15,20,25,0,0,True
229 RENAISSANCE DR,West,Amherst,2,0,8,2,115/13.8,20/26.7/33.3,10,5733,2007-03-28,115.0,13.8,0.0,20,26.7,33.3,0,0,True
RENSSELAER,East,Rensselaer,0,4,2,1,34.5/13.8,12.5,6,3730,1988-01-01,34.5,13.8,0.0,12.5,0,0,0,0,True
REYNOLDS RD,East,North Greenbush,7,0,8,1,115/13.8,15/20/25,15,5294,1988-08-19,115.0,13.8,0.0,15,20,25,0,0,True
REYNOLDS RD,East,North Greenbush,7,0,8,1,115/13.8,15/20/25,0,5294,1988-08-19,115.0,13.8,0.0,15,20,25,0,0,True
REYNOLDS RD,East,North Greenbush,7,0,8,1,345/115/13.2,400/448,0,5294,1988-08-19,345.0,115.0,13.2,400,448,0,0,0,True
RICHMOND,West,Richmond,0,1,3,1,34.5/13.8,7.5/9.38/10.5,4,3371,1992-01-01,34.5,13.8,0.0,7.5,9.38,10.5,0,0,True
RIDGE ROAD,Central,Cazenovia,0,1,1,3,34.5/4.8,1,2,893,1947-05-27,34.5,4.8,0.0,1,0,0,0,0,True
142 LEHIGH AVE,West,Lackawanna,2,4,4,1,115/34.5,20/26.7/33.3,10,1470,1966-02-17,115.0,34.5,0.0,20,26.7,33.3,0,0,True
142 LEHIGH AVE,West,Lackawanna,2,4,4,1,115/34.5,22.4/29.9/37.4,0,1470,1966-02-17,115.0,34.5,0.0,22.4,29.9,37.4,0,0,True
RIFLE RANGE,East,Colonie,0,1,2,1,34.5/13.2,2.5,3,391,2006-02-01,34.5,13.2,0.0,2.5,0,0,0,0,True
RIPARIUS,East,Johnsburg,0,1,1,1,34.5/4.8,3.75/4.68,2,519,1959-10-16,34.5,4.8,0.0,3.75,4.68,0,0,0,True
RIPLEY,West,Ripley,0,2,2,1,34.5/4.8,3.75,4,1270,2003-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
RIVER RD,East,Schaghticoke,0,1,1,1,34.5/4.8,2.5,2,3,1949-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
RIVERSIDE,East,Albany,4,9,10,1,115/34.5/13.8,40/53.3/66.6,23,3937,2001-07-01,115.0,34.5,13.8,40,53.3,66.6,0,0,True
RIVERSIDE,East,Albany,4,9,10,1,115/34.5/13.8,40/53/66/74.6,0,3937,2001-07-01,115.0,34.5,13.8,40,53,66,74.6,0,True
RIVERSIDE,East,Albany,4,9,10,2,115/13.8,24/32/40,0,3937,2001-07-01,115.0,13.8,0.0,24,32,40,0,0,True
RIVERVIEW,Central,Black Brook,0,1,1,1,46/4.8,0.5,2,269,1949-01-01,46.0,4.8,0.0,0.5,0,0,0,0,True
SO. ROBERTS RD,West,Dunkirk,2,0,4,1,115/13.8,12/16/20,6,2201,1972-05-02,115.0,13.8,0.0,12,16,20,0,0,True
